profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake
1,0.27,0,0,0,62,0,0,38,1353,954,0
1,0,2,0,0,63,0,0,285,2740,467,0
1,0.1,2,0,0,0,0,1,10,160,99,0
1,0,1,0,0,82,0,0,678,370,651,0
1,0,2,0,0,0,0,1,5,164,126,0
1,0,4,0,0,79,1,0,343,669986,151,0
1,0,2,0,0,71,0,0,9,121,177,0
1,0,2,0,0,0,0,0,39,1145,110,0
1,0,0,0,0,61,0,0,57,1824,2554,0
1,0,2,0,0,41,1,0,139,12945,813,0
1,0,2,0,0,75,0,0,648,9885,1173,0
1,0,2,0,0,48,1,0,76,914,365,0
1,0,2,0,0,0,1,0,265,509,769,0
1,0,2,0,0,103,1,0,118,12032,248,0
1,0,2,0,0,95,1,0,574,1882,1528,0
1,0,3,0,0,47,0,0,242,50373,1105,0
1,0,3,0,0,0,0,0,66,7008,297,0
1,0.29,3,0,0,34,0,0,1659,1127,515,0
1,0,2,0,0,65,1,0,378,24184,1878,0
1,0,2,0,0,106,1,0,526,2156,953,0
1,0,2,0,0,36,0,0,227,3081,998,0
1,0,1,0,0,35,1,1,24,1809,495,0
1,0,2,0,0,34,0,0,300,426,470,0
1,0,1,0,0,37,0,0,285,758,956,0
1,0,0,0,0,0,0,0,148,22147831,80,0
1,0,1,0,0,109,1,1,56,109,179,0
1,0,6,0,0,0,0,1,14,652,695,0
1,0,2,0,0,109,1,0,511,111685,230,0
1,0,2,0,0,83,1,0,229,2036,118,0
1,0,2,0,0,122,0,1,14,109,110,0
1,0,2,0,0,74,0,1,980,686,1517,0
1,0.13,0,0,0,0,0,1,52,509,1298,0
1,0,2,0,0,50,0,1,111,192,171,0
1,0,2,0,0,36,0,0,972,745,1116,0
1,0,2,0,0,57,1,0,813,717617,673,0
1,0.18,2,0,0,10,0,0,498,5315650,2703,0
1,0.33,0,0,0,0,0,1,27,268,328,0
1,0,2,0,0,80,0,0,33,692,879,0
1,0,2,0,0,134,0,1,74,117,73,0
1,0,2,0,0,0,0,0,8,104,138,0
1,0,0,0,0,2,0,0,7389,890969,12,0
1,0,2,0,0,0,1,0,420,208935,330,0
1,0,2,0,0,23,0,0,353,3679,1359,0
1,0,2,0,0,138,1,0,157,64086,17,0
1,0,4,0,0,40,0,0,5848,15540985,7,0
1,0,3,0,0,122,0,0,751,380511,0,0
1,0,2,0,0,5,0,1,3,132,183,0
1,0,2,0,0,1,0,1,14,118,107,0
1,0,1,0,0,5,0,0,90,368,599,0
1,0,0,0,0,20,0,0,359,1476,667,0
1,0,3,0,0,90,1,0,275,1799,409,0
1,0,2,0,0,31,0,0,256,2840,1108,0
1,0,1,0,0,148,1,0,840,833,432,0
1,0,2,0.12,0,34,1,0,199,7216,946,0
1,0,0,0,0,82,0,0,12,356,375,0
1,0.12,1,0,0,11,1,0,27,63,341,0
1,0,2,0,0,33,0,0,75,1677,642,0
1,0,1,0,0,1,0,1,95,403,283,0
1,0,1,0,0,11,0,0,43,1843,599,0
1,0.12,2,0,0,1,0,0,63,320377,228,0
1,0,1,0,0,4,0,0,12,142,114,0
1,0,1,0,0,34,1,0,63,384,568,0
1,0.19,2,0,0,0,0,0,18,60,56,0
1,0,1,0,0,68,1,0,99,802,110,0
1,0,2,0,0,129,1,0,661,51144,410,0
1,0,2,0,0,56,1,0,166,1582,2119,0
1,0,2,0,0,55,0,0,23,224,266,0
1,0,1,0,0,33,0,0,237,18842,743,0
1,0,2,0,0,72,1,0,149,15146,1712,0
1,0,3,0,0,0,0,0,122,538,700,0
1,0.33,2,0,0,70,0,0,74,228,487,0
1,0,1,0,0,91,0,0,16,313,701,0
1,0,1,0,0,9,0,1,9,221,109,0
1,0,2,0,0,40,0,0,86,418,332,0
1,0.2,2,0,0,0,0,1,5,266,325,0
1,0,1,0,0,0,0,1,2,33,36,0
1,0,2,0,0,32,0,1,106,391,998,0
1,0,2,0,0,18,0,1,15,179,319,0
1,0,3,0,0,27,0,0,172,603,287,0
1,0.33,1,0,0,46,0,0,96,758,675,0
1,0,2,0,0,1,0,0,38,237,359,0
1,0.06,2,0,0,11,0,1,18,416,396,0
1,0,3,0,0,71,1,0,266,9980,539,0
1,0,2,0,0,30,0,0,183,1363,628,0
1,0,2,0,0,24,1,0,580,76968,526,0
1,0,3,0,0,12,1,0,47,881,488,0
1,0,1,0,0,111,0,0,101,742,1089,0
1,0,1,0,0,34,1,1,157,1268,899,0
1,0,0,0,0,28,0,0,198,4594,990,0
1,0,1,0,0,12,0,0,83,1164,899,0
1,0,2,0,0,0,0,1,450,1926,1411,0
1,0,2,0,0,59,0,1,43,1069,1925,0
1,0,1,0,0,8,0,1,86,815,979,0
1,0,2,0,0,47,0,0,62,565,397,0
1,0,1,0,0,24,0,0,65,2555,1297,0
1,0,2,0,0,72,0,1,232,1800,1356,0
1,0,1,0,0,29,0,0,22,698,410,0
1,0,0,0,0,0,0,0,99,5230,263,0
1,0,0,0,0,13,1,0,349,2488,999,0
1,0,3,0,0,0,0,0,107,529,565,0
1,0,2,0,0,0,0,1,205,688,413,0
1,0,0,0,0,0,0,1,25,60,45,0
1,0,3,0,0,0,0,1,128,289,221,0
1,0,1,0,0,28,0,1,6,19,19,0
1,0,2,0,0,56,1,0,55,3551,131,0
1,0,1,0,0,140,1,0,631,21249,591,0
1,0,0,0,0,122,1,0,204,2756,802,0
1,0,2,0,0,114,1,0,209,4859,588,0
1,0,2,0,0,32,0,1,333,490,354,0
1,0,2,0,0,0,0,0,13,218,56,0
1,0,2,0,0,22,0,0,7,795,1155,0
1,0,1,0,0,0,0,0,417,1113,967,0
1,0.2,1,0,0,90,0,1,11,80,208,0
1,0.44,1,0,0,33,0,1,33,233,165,0
1,0,1,0,0,0,0,0,1,346,334,0
1,0.1,1,0.1,0,0,0,0,710,748,4885,0
1,0,1,0,0,1,0,0,114,490,1093,0
1,0,1,0.08,0,9,0,1,13,456,470,0
1,0,0,0,0,124,1,0,107,928,1084,0
1,0.24,1,0.24,0,1,0,0,7,497,260,0
1,0.14,2,0,0,0,0,1,7,98,157,0
1,0,0,0,0,1,0,1,21,192,413,0
1,0,2,0,0,40,0,0,64,734,566,0
1,0.29,2,0,0,0,0,0,10,221,224,0
1,0,2,0,0,32,0,1,60,99,177,0
1,0,0,0,0,0,0,1,164,917,1209,0
1,0,2,0,0,7,0,1,9,196,209,0
1,0,1,0,0,0,0,1,571,766,605,0
1,0.18,2,0,0,24,0,1,31,46,80,0
1,0,1,0,0,35,1,0,328,633,662,0
1,0,4,0,0,150,1,0,161,1383,7501,0
1,0,1,0,0,20,0,1,358,329,448,0
1,0,2,0,0,193,0,1,93,484,3925,0
1,0,3,0,0,129,0,0,31,126,355,0
1,0,2,0,0,0,0,0,0,127,96,0
1,0,0,0,0,18,0,1,25,680,656,0
1,0,2,0,0,73,1,0,921,27477,7203,0
1,0,2,0,0,0,1,1,1020,464,1039,0
1,0,1,0,0,84,0,0,301,820,525,0
1,0,3,0,0,148,0,0,9,338,72,0
1,0,0,0,0,0,1,0,232,388,580,0
1,0.29,1,0,0,11,0,0,43,505,268,0
1,0,12,0,0,46,0,1,25,941,1208,0
1,0,2,0,0,5,0,1,43,1772,1186,0
1,0,1,0,0,131,0,0,3,68,111,0
1,0,2,0,0,63,0,0,220,578,476,0
1,0,2,0,0,18,1,0,1159,3721,618,0
1,0.36,5,0,0,71,0,0,4,226,304,0
1,0.22,2,0,0,142,0,0,397,895,438,0
1,0.08,2,0,0,150,1,0,37,871,72,0
1,0,2,0,0,44,0,1,1,247,371,0
1,0.15,2,0,0,37,0,1,3,1205,605,0
1,0,1,0,0,40,0,1,43,655,802,0
1,0,2,0,0,86,0,0,169,1167,1064,0
1,0.14,2,0,0,87,0,0,7,13249,7400,0
1,0,2,0,0,0,0,0,57,483,1215,0
1,0,3,0,0,0,0,0,35,1204,2928,0
1,0,2,0,0,10,0,1,112,223,762,0
1,0,2,0,0,12,0,1,8,249,354,0
1,0.1,0,0,0,0,0,0,10,125,92,0
1,0.09,1,0,0,0,0,0,275,257,488,0
1,0.15,3,0,0,96,1,1,22,358,489,0
1,0,1,0,0,0,0,0,74,138,96,0
1,0,2,0,0,46,0,1,109,255,300,0
1,0,3,0,0,85,0,1,126,45,399,0
1,0,6,0,0,117,1,0,663,307157,3,0
1,0,1,0,0,27,0,1,0,114,446,0
1,0,0,0,0,0,0,1,10,156,386,0
1,0,2,0,0,57,0,1,8,1246,1031,0
1,0,1,0,0,0,0,0,24,585,1363,0
1,0,1,0,0,34,0,1,50,200,233,0
1,0,3,0,0,39,1,0,82,723,261,0
1,0.45,1,0.25,0,94,1,0,665,795,1461,0
1,0,2,0,0,149,1,0,131,22333,4664,0
0,0,0,0,0,21,0,1,72,533,1060,0
1,0,2,0,0,20,0,1,918,1303,5273,0
1,0,10,0,0,172,1,0,2,45835,280,0
1,0,2,0,0,0,0,0,142,877,536,0
